	kegg.names	labels	all.mapped	all.mapped.symb	type	x	y	width	height	Cd1	Cd2	Cd3	Cd1.col	Cd2.col	Cd3.col
43	K02183	K02183	K02183,K13448	NA,NA	ortholog	495	191	46	17	-666.333333333334	-578.333333333334	1378.66666666667	#00FF00	#00FF00	#FF0000
47	K13416	K13416			ortholog	303	414	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
58	K13426	K13426			ortholog	1117	324	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
59	K16224	K16224			ortholog	1117	344	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
61	K13466	K13466			ortholog	140	503	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
62	K13468	K13468			ortholog	140	526	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
63	K13446	K13446			ortholog	303	151	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
64	K13437	K13437			ortholog	140	623	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
65	K13439	K13439			ortholog	469	656	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
66	K13454	K13454			ortholog	469	586	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
67	K13456	K13456	K13456	NA	ortholog	578	598	46	17	1635.66666666667	1674.66666666667	2601.66666666667	#FF0000	#FF0000	#FF0000
68	K13457	K13457			ortholog	578	628	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
69	K13467	K13467			ortholog	73	526	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
70	K12340	K13408			ortholog	73	623	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
73	K13455	K13455			ortholog	469	608	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
75	K13456	K13456	K13456	NA	ortholog	578	656	46	17	1635.66666666667	1674.66666666667	2601.66666666667	#FF0000	#FF0000	#FF0000
76	K13459	K13459	K13459	NA	ortholog	578	685	46	17	-5.33333333333333	-6.33333333333333	0.666666666666668	#00FF00	#00FF00	#F43535
80	K13430	K13430			ortholog	578	714	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
81	K13460	K13460			ortholog	578	745	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
82	K13440	K13440			ortholog	469	714	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
86	K00864	K00864	K00864	glpK	ortholog	1117	364	46	17	962.666666666667	1396.66666666667	2381.66666666667	#FF0000	#FF0000	#FF0000
89	K13435	K13435			ortholog	578	505	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
90	K13453	K13453			ortholog	578	522	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
91	K13445	K13445			ortholog	202	151	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
99	K23866	K23866			ortholog	703	395	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
100	K13441	K13441			ortholog	96	554	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
104	K13447	K13447	K13447	NA	ortholog	494	151	46	17	4302	4729	6113	#FF0000	#FF0000	#FF0000
107	K13412	K13412	K13412	NA	ortholog	417	151	46	17	-0.666666666666667	-0.666666666666667	-0.666666666666667	#35F435	#35F435	#35F435
110	K13449	K13449	K13449	NA	ortholog	1117	385	46	17	-4.66666666666667	-0.666666666666666	2.33333333333333	#00FF00	#35F435	#FF0000
111	K13427	K13427	K13427	NA	ortholog	585	191	46	17	30.3333333333333	-22.6666666666667	-3.66666666666666	#FF0000	#00FF00	#00FF00
113	K13465	K13465			ortholog	73	503	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
115	K13469	K13469			ortholog	73	577	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
117	K13470	K13470			ortholog	140	577	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
118	K13471	K13471			ortholog	140	600	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
119	K13473	K13473			ortholog	140	646	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
120	K13429	K13429			ortholog	140	669	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
121	K04079	K09487	K04079,K09487	htpG,HSP90B	ortholog	742	655	46	17	14158.3333333333	14215.3333333333	18423.3333333333	#FF0000	#FF0000	#FF0000
122	K12795	K12795	K12795	NA	ortholog	742	638	46	17	11	41	83	#FF0000	#FF0000	#FF0000
123	K13458	K13458	K13458	NA	ortholog	742	621	46	17	-41.3333333333333	-29.3333333333333	-21.3333333333333	#00FF00	#00FF00	#00FF00
129	K13436	K13436	K13436	NA	ortholog	667	505	46	17	76	145	978	#FF0000	#FF0000	#FF0000
130	K13432	K13432			ortholog	667	432	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
131	K13433	K13433			ortholog	667	452	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
132	K13434	K13434			ortholog	667	472	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
158	K18879	K18879			ortholog	469	1163	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
159	K23865	K23865			ortholog	875	1163	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
161	K15397	K15397	K15397	NA	ortholog	1088	1154	46	17	-46.6666666666666	-16.6666666666666	8.33333333333337	#00FF00	#00FF00	#FF0000
162	K18880	K18880			ortholog	1088	1174	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
163	K08598	K08598			ortholog	469	782	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
165	K12795	K12795	K12795	NA	ortholog	578	774	46	17	11	41	83	#FF0000	#FF0000	#FF0000
166	K18873	K18873			ortholog	578	791	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
167	K18877	K18877			ortholog	965	936	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
168	K18878	K18878			ortholog	929	980	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
170	K13478	K13478			ortholog	469	1025	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
171	K16225	K16225			ortholog	875	1025	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
172	K01373	K01373	K01373	NA	ortholog	640	1060	46	17	-968.333333333333	-1057.33333333333	-625.333333333333	#00FF00	#00FF00	#00FF00
173	K18876	K18876			ortholog	469	937	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
175	K18874	K18874			ortholog	469	843	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
176	K16226	K16226			ortholog	578	835	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
177	K18875	K18875			ortholog	578	852	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
178	K13450	K13450			ortholog	758	395	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
179	K13474	K13474			ortholog	202	1243	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
180	K13475	K13475			ortholog	526	1243	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
181	K18834	K18834			ortholog	890	1243	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
182	K13476	K13476			ortholog	202	1289	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
183	K13477	K13477			ortholog	526	1289	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
