	kegg.names	labels	all.mapped	all.mapped.symb	type	x	y	width	height	Cd1	Cd2	Cd3	Cd1.col	Cd2.col	Cd3.col
12	K13420	K13420	K13420	NA	ortholog	303	287	46	17	726	915	1165	#FF0000	#FF0000	#FF0000
13	K13428	K13428			ortholog	303	384	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
14	K02406	K02406			ortholog	202	287	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
15	K02358	K02358	K02358	NA	ortholog	202	384	46	17	307	1308	1339	#FF0000	#FF0000	#FF0000
16	K13416	K13416			ortholog	303	317	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
19	K13451	K13451			ortholog	390	514	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
20	K13452	K13452			ortholog	452	496	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
24	K13414	K13414			ortholog	562	306	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
25	K13413	K13413			ortholog	660	353	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
26	K14512	K20536			ortholog	758	353	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
27	K13425	K13426			ortholog	901	353	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
28	K04368	K04368	K04368	MAP2K1	ortholog	660	306	46	17	133	91	283	#FF0000	#FF0000	#FF0000
32	K20600	K20600	K20600	NA	ortholog	758	249	46	17	4446	4473	6172	#FF0000	#FF0000	#FF0000
36	K13420	K13420	K13420	NA	ortholog	437	287	46	17	726	915	1165	#FF0000	#FF0000	#FF0000
37	K13423	K13423			ortholog	901	249	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
42	K05391	K05391	K05391	CNGF	ortholog	303	191	46	17	22.6666666666667	20.6666666666667	5.66666666666667	#FF0000	#FF0000	#FF0000
