KeggID,C1,C2,C3,Cd1,Cd2,Cd3
K18183,104,126,141,102,80,106
K13993,287,350,381,4406,4692,5890
K00799,121,149,140,112,151,155
K00799,0,0,0,0,0,0
K04802,61,68,84,110,121,95
K03257,8478,10817,9945,9555,8909,9921
K03257,8399,10377,9773,9332,8999,9703
K03257,8110,10352,9555,9035,8662,9272
K20308,87,107,102,62,45,51
K06207,1064,1307,1415,1143,1183,1136
K03188,88,80,108,61,59,65
K03188,85,72,89,78,77,79
K05658,756,879,819,581,536,453
K05658,179,213,250,368,387,314
K02694,17535,21419,19777,15674,16162,16681
K16810,2827,3494,3061,2701,2709,2851
K17601,379,507,504,472,395,462
K06975,82,131,123,78,89,96
K06975,53,78,69,45,57,65
K06975,53,80,79,68,52,54
K14489,511,626,561,634,767,758
K10601,1,2,2,0,0,0
K10601,0,0,0,0,0,0
K10601,0,1,3,0,0,0
K10601,0,3,2,2,0,0
K13448,1531,2176,1828,2542,2661,3089
K00799,911,1076,1085,8025,7505,9582
K18187,489,558,593,431,453,540
K17912,23,32,20,17,11,13
K00430,1243,1740,1459,652,953,820
K01183,17,17,13,12,14,8
K20495,0,0,1,1,0,0
K00799,1,5,4,1399,1653,2161
K23504,89,128,121,301,298,317
K08494,2191,2559,2362,1994,1898,2182
K21842,661,763,873,640,679,609
K21842,666,794,822,662,705,644
K03026,151,165,171,113,114,120
K01756,295,382,367,258,237,285
K08955,1338,1539,1506,1094,1288,1400
K09565,154,144,163,146,152,157
K09565,134,159,157,131,138,136
K09565,144,133,165,128,139,149
K09256,42,59,66,65,61,72
K09256,70,66,55,80,54,68
K10529,26,61,60,44,35,41
K05280,1070,1399,913,1311,1315,1667
K05280,1031,1441,1036,1384,1298,1669
K23577,10118,11616,12611,8822,7923,8088
K02606,72,71,84,136,177,166
K24677,101,136,133,62,81,67
K00930,596,650,557,521,492,606
K00799,292,368,388,556,548,539
K11000,3487,4431,3854,3895,4569,4610
K15979,4808,6029,5231,7462,7375,8741
K02206,649,786,771,719,708,687
K00850,875,1056,971,1772,1752,1861
K01735,1798,1911,2047,4445,4235,5004
K00051,4104,4962,4359,3825,3930,3779
K00051,3988,4978,4404,3825,3933,3917
K10520,162,203,182,172,194,195
K01082,261,330,332,328,328,346
K10691,4640,5236,4722,3261,4118,4158
K15227,1381,1765,1608,1955,1997,2317
K14638,153,172,180,191,201,204
K03165,2,1,1,2,2,0
K03165,2,1,0,0,2,0
K01623,6641,8500,7270,6225,6767,7001
K14561,117,128,142,105,65,71
K20307,668,822,717,656,728,662
K20307,659,832,754,686,726,669
K03061,1092,1497,1429,2006,1823,2079
K00921,2888,3502,2954,3296,3751,4069
K09490,4557,6195,5033,18734,17880,22947
K09487,3340,4342,3658,9964,9453,11417
K15014,603,731,618,721,759,795
K21867,480,594,491,505,579,593
K14692,183,233,255,343,216,255
K14521,302,365,365,151,188,127
K01535,17,17,12,34,24,12
K23050,0,0,0,0,0,0
K23050,50,39,57,14,19,6
K08794,0,0,0,0,0,0
K04445,5,9,8,2,8,12
K06070,0,0,0,0,0,0
K06070,0,0,0,0,0,0
K00430,12,14,8,11,15,6
K01537,1710,2299,1954,881,1461,1140
K13412,0,0,0,0,0,0
K24081,0,0,1,0,0,0
K13449,95,98,128,180,140,195
K01408,682,888,802,900,976,902
K23951,427,524,553,633,613,649
K19025,319,357,311,230,233,203
K11855,739,973,906,807,810,927
K14556,336,413,453,201,181,175
K17613,266,351,383,373,323,284
K20924,1657,1933,1013,1445,1471,1830
K20924,83,119,63,140,132,153
K20924,114,119,68,108,122,123
K09753,137,146,138,58,56,53
K16276,707,828,809,879,936,1023
K15200,349,492,441,822,865,1065
K07071,1081,1428,1333,1020,1073,1055
K24761,13,17,6,1,3,7
K00422,143,361,302,1926,2302,3078
K00422,63,115,79,1652,1581,2283
K00422,2234,3713,2789,5036,4721,5700
K00422,18,16,16,27,25,40
K15710,129,125,131,49,66,63
K15710,83,77,81,50,37,37
K19603,2,0,5,3,6,10
K19603,3,0,3,1,4,6
K09645,131,157,191,188,114,164
K18270,798,915,822,1106,1177,1191
K11649,178,183,203,333,336,363
K11649,151,221,197,316,348,357
K11649,157,197,162,309,329,356
K11649,189,217,173,299,361,371
K07297,17,22,27,21,11,9
K13681,585,722,578,828,924,1090
K11878,40,50,60,34,24,41
K11878,42,64,60,34,47,32
K11878,46,40,57,34,21,34
K05609,334,425,384,525,486,535
K21852,516,620,622,500,570,613
K21852,494,641,573,581,589,633
K21852,560,644,611,545,589,578
K21852,551,640,637,525,551,593
K00121,344,370,303,215,225,265
K02976,11210,13777,13797,13515,12070,13507
K02737,1366,1744,1533,1685,1750,1912
K13941,146,158,183,433,434,482
K05658,1279,1477,1312,1396,1338,1588
K14401,662,814,687,724,702,728
K01802,1082,1322,1059,1002,941,1038
K10523,6492,8338,7076,3151,3715,3631
K01456,510,659,594,543,521,553
K01456,509,643,581,543,529,566
K01551,621,763,681,545,675,643
K22748,571,664,584,596,746,649
K22748,530,640,612,599,660,672
K22748,541,686,602,582,644,655
K13449,0,1,1,18,4,11
K01052,0,0,0,0,0,0
K01052,1,0,0,5,0,0
K01052,0,0,0,0,0,0
K13800,880,1288,873,1183,1341,1549
K12462,216,271,225,311,275,313
K17301,0,0,0,0,0,0
K13093,484,602,562,427,435,337
K20495,155,115,135,73,89,58
K08869,157,250,231,272,312,307
K08869,128,193,190,225,231,272
K11438,5979,7532,6878,3248,3926,3881
K00660,219,286,340,205,218,177
K16911,2593,3670,3150,2641,2571,2680
K09060,1126,1470,1078,870,1192,1032
K04120,1011,1444,1119,695,586,847
K03033,751,1005,1029,948,915,975
K14815,80,83,93,67,47,52
K14815,78,96,91,57,55,56
K14815,91,71,116,57,53,59
K14815,78,75,97,75,53,34
K20478,1363,1571,1425,770,937,785
K01834,359,392,434,626,603,701
K01834,346,339,424,571,626,649
K13119,154,136,176,133,148,116
K13066,11,8,19,11,9,6
K13066,4,13,12,8,9,8
K13066,9,7,16,9,11,5
K13066,2,2,1,1,2,0
K13066,200,189,254,133,151,110
K12486,30,15,28,7,9,7
K12486,26,19,21,11,10,7
K12486,1,4,4,4,7,0
K22757,36,43,28,30,32,45
K07901,380,481,402,446,423,613
K10268,178,238,259,215,219,229
K13065,0,0,0,0,0,0
K15893,886,1047,951,2046,2024,2315
K12881,1388,1646,1531,1818,1791,1774
K17781,296,376,374,228,198,262
K04368,1361,1447,1509,1572,1530,1722
K00600,797,1064,1008,961,1143,1066
K10999,119,135,252,158,102,60
K01749,2030,2442,2368,2836,3016,2947
K06268,1607,2012,1723,1760,1729,1856
K10563,139,161,183,160,191,179
K09840,42,60,73,64,66,72
K02109,3637,6001,6478,6069,5179,5616
K08337,683,809,724,866,768,876
K08337,620,713,751,782,737,840
K10408,19,30,37,13,16,15
K02636,4935,5862,5342,5153,5182,6043
K08238,136,151,120,233,217,288
K00213,672,802,839,797,836,708
K14861,346,418,459,317,345,336
K00021,7858,10961,9157,9456,10711,10848
K11594,2253,3051,2601,3206,3348,3540
K00703,94,139,113,81,111,93
K00703,118,135,134,82,100,79
K00411,3034,3558,3342,3314,3267,3678
K14454,483,592,701,59,67,61
K01052,0,0,0,0,0,0
K09537,131,165,137,239,234,239
K08101,412,776,1069,670,629,635
K12655,979,1220,1096,1762,1963,2278
K22939,419,546,470,432,463,498
K15115,100,109,151,73,71,67
K03283,1968,2664,2096,11953,11826,14713
K00600,15241,17419,15542,10870,11286,11307
K03237,2182,2514,2591,2115,2241,2249
K10685,608,635,672,579,646,669
K00026,2606,2993,2836,3099,3186,3484
K08776,1929,2317,2196,2047,1866,2097
K16833,63,56,60,51,57,47
K01166,141,156,152,222,233,294
K13800,174,189,161,139,150,145
K13800,154,180,197,127,150,133
K06695,0,7,2,0,0,0
K06695,0,1,2,0,1,0
K06695,1,1,1,0,0,0
K06695,1,4,1,1,1,0
K15746,653,862,662,1290,1289,1715
K02973,10309,13203,12949,12309,12066,12854
K02872,7195,9034,9351,8279,7293,8186
K18463,189,217,163,113,141,157
K18463,173,193,168,104,120,122
K00430,5,20,5,134,65,179
K14016,1334,1673,1495,1535,1701,1868
K03217,1750,2096,1872,2228,2233,2438
K01183,87,82,78,70,80,112
K14994,629,760,796,526,504,542
K20600,4467,5989,4826,9540,9567,11266
K00434,1651,2102,1805,1889,1804,2251
K00434,1669,2040,1766,1911,1902,2197
K06276,942,1041,1024,524,665,585
K16572,119,120,111,81,92,61
K16572,98,127,125,78,88,73
K01304,1700,2253,1632,1205,1282,1527
K14289,660,891,936,1900,1648,1725
K18735,298,282,325,229,232,233
K13356,27,31,40,110,95,142
K11373,315,410,388,476,583,495
K01662,5490,6723,6228,6031,6712,6658
K15032,123,152,113,157,149,160
K03129,768,955,854,734,738,717
K14684,1169,1372,1307,1480,1528,1711
K22068,3688,3926,3824,4236,3855,4506
K08830,10,7,6,7,1,5
K08830,5,11,9,4,2,5
K07375,4191,4955,4245,2828,2991,2883
K02969,4576,5111,6053,5612,4765,6206
K14411,1901,2222,1947,1619,1519,1612
K07199,869,1162,972,597,652,696
K18159,212,254,239,179,279,288
K02969,2916,3840,3539,3479,3159,3936
K10728,121,174,167,189,180,226
K01535,2,0,3,0,1,1
K01535,5,2,0,0,0,2
K01052,0,0,1,1,2,3
K01052,1,0,2,7,5,13
K01052,0,0,0,1,0,1
K12271,973,1026,993,505,669,663
K23052,623,736,671,394,448,425
K13066,242,277,310,210,235,254
K13066,4,15,9,7,2,0
K08176,2,0,0,2,2,0
K13051,201,262,269,685,1003,1334
K10885,52,58,57,48,62,48
K10885,47,68,56,68,72,56
K10885,60,76,64,57,59,58
K10885,63,73,74,50,56,58
K10885,64,56,65,54,45,60
K10885,57,64,67,65,45,59
K10885,70,51,58,56,45,45
K21027,272,373,271,385,404,429
K00901,453,544,419,528,638,676
K04739,11,7,5,8,3,7
K04739,1,7,1,2,0,3
K00605,1753,1862,1784,878,1229,1025
K00487,34,32,24,31,24,30
K00487,36,28,21,20,22,30
K00487,34,36,19,18,22,24
K02208,343,406,408,471,501,579
K20776,537,720,658,703,706,722
K15902,33,37,31,41,29,27
K06119,1617,1814,1604,1628,1602,1536
K07955,3207,3906,3536,2825,2771,3152
K20667,2,2,3,0,2,1
K20667,1,3,3,0,1,0
K10862,75,61,102,48,30,30
K10862,68,70,103,39,41,34
K10862,42,78,80,36,37,24
K10862,65,78,85,45,42,42
K00384,1127,1507,1238,2627,2768,3274
K02958,348,510,539,500,470,532
K20769,71,126,105,27,35,34
K03320,13,15,26,29,15,20
K22277,563,652,469,345,380,478
K04123,34,47,25,30,45,40
K09553,55,64,46,31,40,60
K19729,1845,2221,2133,2260,2387,2552
K00763,149,229,197,108,93,139
K01079,325,397,404,615,498,669
K11778,120,169,122,403,404,481
K11778,114,132,111,350,374,471
K23292,420,523,481,452,436,473
K23292,445,513,441,442,462,473
K15108,116,174,148,356,369,463
K13728,40,32,32,14,15,7
K13728,37,26,24,15,18,9
K01885,294,376,379,349,369,355
K01885,287,326,378,263,353,345
K00284,4191,4147,4359,3750,4540,3703
K20793,452,436,488,381,420,333
K14677,58,78,60,115,75,103
K00164,230,281,265,139,217,171
K08081,600,780,670,656,632,691
K15135,140,215,229,159,200,218
K13379,4244,5855,4318,5509,5610,6497
K13379,4733,5982,4891,7013,6676,7629
K12840,173,175,182,180,220,204
K06085,299,387,415,354,338,322
K06085,308,394,452,355,322,344
K12236,2,3,3,4,1,10
K10534,1342,1661,1236,731,927,761
K09290,36,33,38,27,28,33
K10781,1663,2472,1901,3349,4233,4462
K16190,69,100,81,118,94,120
K16190,72,106,73,126,97,133
K15440,102,176,181,58,81,78
K03715,588,758,746,444,504,491
K03715,673,723,818,485,527,544
K11086,1146,1279,1209,1109,1184,1212
K09375,10,20,15,42,46,65
K08517,1095,1322,1208,1274,1283,1414
K13148,51,54,48,75,72,63
K13148,48,47,50,53,67,69
K15429,335,411,258,143,200,149
K14827,183,224,249,123,159,139
K07937,548,744,589,474,459,467
K13621,194,258,180,207,194,208
K09187,3,2,1,1,0,1
K15198,74,82,79,61,66,52
K11406,138,190,137,66,81,71
K11406,124,172,155,62,65,84
K11406,136,199,154,52,78,87
K11406,144,218,135,72,78,90
K11406,126,180,129,46,66,89
K13172,60,75,57,78,89,96
K09422,0,0,0,0,0,0
K01297,20,27,45,19,18,23
K07152,149,166,190,206,282,228
K01637,97,133,120,51,50,57
K01637,105,143,90,58,49,87
K12823,149,175,148,124,145,184
K01183,63,77,56,34,36,45
K10865,102,117,133,67,70,75
K21776,99,116,160,315,306,268
K00975,278,286,394,267,267,297
K00975,342,298,378,303,307,292
K16751,3,5,5,3,3,2
K16751,3,5,4,2,0,1
K00873,2088,2446,2215,1964,2134,2105
K06041,115,136,104,225,241,278
K00261,14346,17949,15501,20917,19228,26687
K14015,389,426,376,452,403,529
K14015,315,429,433,464,462,528
K01488,64,83,107,32,53,50
K01488,66,91,100,37,28,41
K01488,61,99,104,37,53,60
K03115,1420,1741,1635,1129,1201,1248
K00432,474,568,562,480,580,568
K00432,478,550,505,500,512,555
K06928,5982,8571,7010,4382,5590,5527
K05658,323,300,389,348,286,276
K07555,157,201,193,134,149,139
K13449,80,91,87,100,77,117
K03470,59,78,87,153,159,171
K02155,120,192,124,137,128,200
K19022,517,735,521,665,747,752
K17751,28,38,44,16,27,18
K22128,296,333,273,253,302,264
K22128,288,306,293,280,285,270
K22128,205,200,217,233,216,236
K07868,0,0,0,0,0,0
K11644,0,0,0,0,0,0
K01866,730,786,802,603,582,596
K00454,6,7,11,8,4,15
K00454,17,26,30,34,36,48
K15718,29,48,51,53,51,30
K19828,210,255,277,228,212,263
K17991,7,6,19,6,2,6
K09273,413,478,665,337,477,314
K14571,980,1210,1143,1034,1329,1235
K14994,734,836,870,430,431,400
K14994,793,873,893,482,405,413
K02922,4575,4958,5353,4235,4869,4711
K13681,4,4,3,2,3,6
K08630,0,0,0,0,0,0
K10956,2719,3285,2952,4224,4227,4643
K10956,2578,3480,2949,3129,3283,3597
K00793,241,325,271,314,249,279
K05462,0,0,0,0,0,0
K18929,5,7,3,0,0,0
K11253,0,0,0,0,0,0
K03040,1956,3186,3972,2614,3122,2831
K01244,634,824,882,474,521,458
K02898,5680,6626,6769,6248,5955,6471
K02898,5647,6620,7017,6468,6009,6498
K14563,318,361,401,316,310,276
K14563,268,365,360,295,281,273
K12870,283,432,407,291,348,356
K00901,685,843,716,2632,1999,2432
K05016,2373,2714,2619,1377,1640,1431
K06640,113,69,93,76,83,44
K04711,396,552,489,405,379,427
K05765,7492,9773,8368,8850,8481,9818
K18592,69,155,100,195,174,212
K02083,98,138,92,166,205,235
K24195,0,0,4,0,0,0
K10401,1765,2051,1896,1226,1527,1408
K10573,4272,5377,4513,5241,5368,6427
K10573,2665,3127,2909,3088,3140,3887
K03439,137,165,181,56,69,53
K03439,180,170,198,61,92,60
K07053,62,105,93,45,44,36
K08150,967,1136,1099,1285,1207,1372
K20477,683,814,884,710,702,826
K13789,846,950,1018,1419,1493,1725
K01427,1606,1608,1358,1167,1487,1562
K14431,376,424,326,391,367,372
K14431,375,446,367,357,386,435
K14431,344,459,344,398,405,439
K14431,384,451,372,400,421,429
K14431,349,440,338,381,402,394
K14431,351,474,334,392,374,399
K14431,340,453,337,397,365,375
K14431,358,410,314,383,380,397
K00029,2,1,0,1,0,3
K14802,912,1104,1012,2656,3114,3472
K01824,467,583,472,376,421,427
K00979,89,143,179,121,142,169
K08913,11,8,6,2,3,2
K12846,55,76,45,49,61,70
K12846,56,79,57,47,66,60
K12846,49,73,66,60,61,52
K12846,57,69,66,67,54,65
K12846,71,89,55,61,75,77
K12846,63,81,60,59,49,65
K12846,56,78,64,61,59,52
K12846,57,80,57,65,64,59
K15015,1213,1461,1249,1627,1579,1750
K19032,918,949,1037,708,777,714
K01519,68,110,109,100,77,82
K01519,82,113,105,88,76,80
K18195,342,337,202,287,319,363
K18195,31,51,24,12,19,32
K18195,140,101,99,134,144,126
K18195,105,131,103,138,115,122
K15235,289,273,363,380,459,502
K12818,590,705,651,660,692,696
K02902,172,180,253,113,112,147
K01000,92,102,137,62,60,59
K02213,224,275,284,203,229,218
K02213,26,29,49,30,39,24
K11294,1886,2210,2291,1428,1324,1256
K07056,73,101,115,84,76,62
K07056,92,89,114,85,63,53
K15423,1342,1566,1283,2044,2000,2396
K17619,48,63,77,53,75,46
K17619,40,49,69,92,87,106
K17619,54,63,63,102,96,94
K17619,63,66,63,113,96,112
K17619,50,56,80,120,101,118
K17619,49,62,71,100,106,134
K17619,54,68,67,109,97,98
K17619,53,60,51,112,103,101
K17619,43,55,56,93,84,100
K15687,507,508,518,646,638,697
K09872,52142,61242,53113,43805,41435,46760
K08866,218,252,290,215,227,203
K06172,121,171,149,106,140,127
K14487,76,97,48,53,43,54
K14487,79,71,60,41,48,61
K01256,2077,2747,2384,3084,2840,2980
K12844,382,423,484,372,338,353
K03940,1439,1788,1572,1484,1452,1695
K15032,82,124,95,58,56,76
K15032,104,114,102,48,68,63
K15032,83,126,108,64,51,76
K08489,691,846,719,712,710,794
K08489,673,800,732,668,672,833
K01803,93,87,84,86,88,61
K11507,545,693,513,605,671,833
K20098,259,299,347,280,301,293
K03109,146,158,171,149,143,139
K03109,148,152,185,135,135,168
K03167,336,352,412,337,309,258
K09833,596,613,776,677,660,562
K01052,0,1,0,1,1,2
K00430,1,0,0,0,0,0
K07937,414,484,428,460,421,535
K04935,4,1,7,0,1,1
K09291,634,778,764,496,569,468
K09291,648,759,790,505,622,485
K08903,1139,1374,1313,974,1061,1106
K08737,421,474,493,268,321,318
K11547,61,88,102,71,109,98
K11188,3345,4562,3619,2943,3570,3546
K02145,1023,1194,909,1040,1039,1275
K00430,0,0,0,0,0,0
K00430,0,1,1,0,0,0
K13448,19,46,39,136,164,244
K13448,543,723,542,294,305,416
K13448,0,0,0,1,0,2
K13448,2,10,15,61,86,96
K23869,1,3,8,25,8,12
K03609,1071,1349,1025,1130,1228,1242
K12875,1464,1834,1587,1348,1295,1469
K08738,671,785,680,640,539,710
K01258,0,0,1,0,0,1
K14445,8295,9409,7555,7588,6931,8459
K20292,199,185,181,163,173,155
K20292,169,211,167,163,182,191
K20292,177,194,180,146,164,181
K20292,193,198,180,155,169,199
K10661,2550,3052,2646,3176,3312,3547
K02639,15575,18924,16882,11660,14111,14530
K14768,310,367,316,267,324,304
K16362,0,1,1,1,0,2
K00620,480,446,661,452,507,407
K04294,2,0,2,0,1,0
K07052,2366,2704,2651,1916,2296,2396
K13998,417,548,530,294,415,305
K13998,419,586,520,307,362,307
K13998,436,568,515,308,366,316
K01476,1304,1446,1475,1826,1756,2093
K09579,732,786,785,506,598,629
K08907,8968,10983,10380,7300,6918,7036
K12501,873,922,1008,784,846,818
K12501,70,108,167,43,54,42
K02133,11067,13580,11619,10990,10731,11476
K00430,1,2,1,0,0,0
K21888,1499,1761,1825,1519,1491,1624
K11968,1702,1941,1816,1952,2125,2257
K02350,289,363,300,225,293,316
K02350,257,279,278,195,248,273
K02350,248,299,246,214,247,242
K02350,270,299,264,184,237,231
K14006,791,949,834,1065,1091,1195
K14137,628,823,764,562,559,620
K23314,83,80,106,77,42,50
K05366,134,173,163,175,160,167
K05366,142,168,155,158,152,166
K23871,760,1008,958,901,874,878
K21362,468,603,555,265,305,303
K01537,90,132,119,209,226,278
K01802,15142,19674,16742,11008,11865,12572
K08999,1442,1893,1685,883,1029,1200
K08999,1412,1796,1618,957,963,1117
K08999,1502,2028,1787,922,1114,1115
K24242,333,358,349,347,304,329
K24242,323,406,359,354,314,337
K02160,1927,2397,2012,2228,2246,2486
K18757,4375,5633,5317,3232,3486,3196
K22262,1316,1578,1356,1505,1733,1746
K14855,213,286,272,250,275,399
K07953,3089,4076,3336,2855,3021,3619
K01809,497,520,439,679,615,774
K13449,0,1,7,8,2,3
K13449,0,0,0,0,0,2
K15718,705,671,652,62,98,24
K11269,12,14,28,25,17,14
K11269,12,15,37,28,22,18
K00695,11216,15075,14596,32767,37361,36237
K03349,156,212,237,196,201,196
K03349,167,184,256,209,222,205
K12121,13211,16970,13861,7955,10268,9027
K12859,1371,1540,1552,1882,1975,2452
K13993,649,850,660,2440,2369,3070
K13993,577,856,667,2498,2322,2987
K06184,823,1039,817,1059,1077,1174
K02706,188,402,454,344,326,329
K22390,107,111,100,246,322,286
K02995,10143,12049,12672,11043,11081,12193
K02995,10428,12521,12972,11780,11693,12569
K22533,46,62,70,29,31,23
K22533,49,56,71,31,39,32
K07222,618,701,710,648,773,941
K04371,1035,1267,1129,2059,1792,2323
K00555,49,54,60,56,57,43
K00555,51,70,60,50,67,47
K14537,751,836,802,763,813,749
K01373,4969,6148,5585,4599,4510,4942
K12129,4316,5725,4794,2600,3127,3088
K12129,4278,5570,4583,2646,3099,3078
K20310,507,644,535,342,358,326
K10579,2485,1988,2722,4125,2647,2143
K10579,2550,2138,2697,4093,2686,2247
K10579,2534,2108,2860,4120,2705,2318
K10579,2626,2052,2806,4169,2769,2215
K10579,2471,2056,2709,4077,2733,2235
K10579,2420,2033,2673,4077,2679,2219
K17816,29,24,30,7,16,9
K17816,23,22,17,5,7,16
K17816,17,30,12,14,11,9
K10587,2609,3591,3211,2646,2828,2923
K00422,0,0,4,1,1,0
K01874,761,898,871,703,649,660
K07375,2780,3339,3291,3703,3640,3540
K20290,637,693,811,644,622,717
K14962,203,200,210,137,159,165
K14962,182,194,201,125,167,146
K11511,6,5,7,18,16,18
K13681,16,20,18,7,8,7
K03246,2234,2801,2658,3094,2864,3061
K00696,14,38,22,5,1,3
K07466,145,216,218,114,103,121
K01807,461,631,577,421,417,445
K01807,471,599,564,448,401,401
K01807,509,657,581,452,399,438
K18633,155,147,133,123,125,107
K22685,46,72,55,244,315,354
K01674,625,820,748,1798,1590,2179
K01674,624,845,715,1794,1625,1993
K01674,671,867,757,1845,1567,2116
K01633,34,52,42,18,18,18
K20623,1291,1568,1179,879,873,1103
K01115,178,235,217,289,295,392
K01115,17,22,32,35,33,44
K02717,1483,2101,1843,1732,1655,1854
K09550,139,172,153,348,325,419
K20716,10,14,5,4,3,4
K08770,5094,6137,6021,27821,28015,30114
K18412,309,403,358,295,330,327
K12593,152,121,136,84,95,87
K12118,3442,4440,3814,3197,3542,3609
K12118,3510,4282,3770,3170,3542,3477
K17824,1176,1408,1311,1670,1704,1985
K05280,1772,2286,1678,2492,2524,3266
K03098,0,0,1,0,1,1
K03098,0,2,0,0,0,0
K03098,0,0,0,2,0,0
K01845,3061,3343,3692,2014,2659,2061
K00422,4,1,1,11,6,11
K08968,159,199,188,183,189,203
K08235,2,0,0,0,0,0
K08235,1,4,0,4,1,2
K08235,9,6,3,4,8,13
K08235,236,407,311,805,738,1127
K08235,411,692,563,1636,1672,2250
K23544,2398,2978,2582,2906,3046,3256
K21362,900,927,884,1183,1348,1496
K01537,1,0,7,0,0,0
K02967,1,3,2,6,9,3
K20891,368,494,440,670,727,804
K20891,498,636,527,819,828,1032
K14998,79,93,105,78,63,57
K14998,67,91,93,54,54,66
K14998,86,81,80,45,54,54
K10143,512,633,551,170,202,188
K19684,34,44,55,5,18,10
K14496,0,0,0,0,0,0
K03294,118,156,148,96,99,112
K13681,275,503,345,58,64,73
K01115,733,1044,850,424,563,560
K01115,594,869,696,347,416,427
K23025,1031,1312,1272,1081,1195,1214
K23025,1088,1386,1210,1102,1164,1189
K02607,17,8,31,32,32,24
K10846,541,619,595,769,841,776
K10846,417,493,472,643,602,631
K00799,150,203,222,3033,3535,3873
K08235,3594,5005,4059,3077,3456,3759
K08235,2548,3082,2597,1834,1936,2013
K02639,438,473,546,635,585,632
K22139,1034,1295,1140,1779,1675,2232
K22683,41,43,24,19,22,17
K15450,312,312,321,345,384,384
K18045,282,389,335,423,390,489
K01414,2928,3501,3317,3762,3777,3657
K13366,462,503,601,167,247,186
K08238,352,469,405,267,305,373
K08238,326,463,407,257,315,325
K08238,343,452,400,254,306,304
K11490,163,191,200,331,342,315
K01867,377,506,535,466,517,515
K10849,196,248,224,280,242,281
K01620,2990,3183,3333,2401,1918,2576
K03189,136,182,166,122,122,119
K03189,128,160,147,117,108,115
K16055,10847,14136,10585,5871,6959,7329
K18677,67,72,99,82,75,66
K18677,61,93,78,86,70,63
K02961,115,127,141,78,90,71
K02961,105,121,112,75,74,71
K08716,28,50,30,196,159,241
K06067,205,274,315,237,231,198
K00430,36,30,31,23,24,24
K00430,3,15,8,8,7,15
K00430,9,12,8,27,22,20
K24139,4,13,5,7,1,1
K01358,1939,2083,2179,2352,2352,2544
K02003,192,185,239,221,200,202
K02003,141,171,172,169,191,172
K14850,267,322,381,212,243,236
K05298,10931,15540,10527,12911,13763,15837
K03950,722,873,869,840,887,1001
K01051,19825,27243,22024,23628,20950,24948
K08678,2474,3008,2736,3491,3278,3597
K00660,406,458,397,427,432,502
K00660,413,429,413,455,446,538
K00660,374,471,431,454,451,517
K00660,363,461,417,441,444,546
K00660,302,424,396,410,434,481
K02952,50,138,168,126,112,109
K15436,1401,1918,1533,1638,1577,1811
K19023,316,296,343,275,291,287
K24723,130,126,109,68,66,83
K03522,1613,2294,1734,1705,1919,2231
K12587,105,132,130,54,76,87
K12587,95,134,107,48,49,77
K08486,339,435,382,976,1164,1344
K13066,2,1,3,2,1,1
K13066,1,2,0,2,2,0
K02969,0,0,0,0,0,0
K12183,410,541,432,1376,1278,1745
K02873,6900,8981,8188,7417,7815,8009
K08741,0,0,0,0,0,0
K08741,0,0,0,0,0,0
K08741,0,0,0,0,0,0
K08741,0,0,0,0,0,0
K08741,0,0,0,0,0,0
K08741,0,0,0,0,0,0
K08741,0,0,0,0,0,0
K08741,0,0,0,0,0,0
K03113,561,708,736,549,625,711
K07936,4716,6503,5259,5460,4516,5178
K07936,4200,6126,5157,5185,4462,4882
K15631,246,243,287,255,264,326
K15631,206,263,289,291,253,314
K19371,272,307,252,329,337,319
K11344,106,134,122,105,123,96
K11344,81,115,114,116,123,109
K11344,100,115,112,99,108,104
K00703,750,801,792,572,773,662
K03809,888,1217,1004,1339,1172,1334
K03809,892,1049,922,1213,1151,1379
K01194,875,1068,1107,543,576,568
K04082,270,277,335,207,233,216
K06045,25,21,39,11,13,10
K07513,1933,2371,1901,3119,3289,3901
K07513,1859,2323,1857,3123,3065,3918
K03234,23060,28678,25486,26109,25403,26352
K15397,1339,1921,1630,3335,3530,4151
K15397,2308,2917,2524,9177,9320,10940
K13681,99,147,117,128,177,277
K00454,127,197,195,122,153,133
K03595,649,734,759,562,532,529
K15692,1244,1540,1213,1507,1716,1862
K16298,1152,1132,1156,985,930,953
K19995,4885,5878,5211,5787,5975,6458
K02896,701,875,892,836,771,918
K14638,0,0,0,0,0,0
K00430,1,2,3,2,1,1
K08176,105,142,66,46,62,59
K08176,194,218,144,63,79,70
K08176,185,191,138,52,42,53
K08176,292,390,293,83,112,105
K08176,628,705,468,164,187,206
K08176,2647,3350,2472,436,446,556
K14759,355,415,482,249,382,264
K14759,334,340,477,270,349,269
K12193,828,1062,985,587,575,712
K01873,751,855,866,727,758,719
K03671,209,228,255,280,313,324
K03131,151,192,188,162,206,202
K03131,138,200,214,170,199,207
K22683,98,135,91,424,393,527
K06215,3843,4780,4313,7959,8247,9562
K00660,0,0,0,0,0,0
K14569,404,455,488,246,323,291
K00430,43,59,33,29,24,48
K10397,34,27,30,13,12,11
K10397,20,45,40,18,14,15
K13066,111,167,130,46,40,52
K02291,1580,2244,1990,3001,3470,3754
K13681,484,721,498,509,631,700
K08818,8,12,10,15,4,15
K03921,57,85,75,84,93,68
K03405,2834,3489,3230,2606,2762,2563
K02717,877,1071,1068,893,972,949
K15744,1241,1481,1597,678,630,559
K15744,326,424,378,555,568,732
K03262,12312,15044,12976,10182,11404,12382
