KeggID,C1,C2,C3,Cd1,Cd2,Cd3
K01247,280,345,308,448,477,519
K14306,388,496,518,523,477,443
K02358,13694,16477,15165,15419,16420,16451
K11087,525,604,622,458,523,484
K12177,471,563,576,557,524,608
K01915,763,942,620,2172,1807,2584
K00161,8538,9726,9198,5659,6422,6288
K09529,130,163,189,194,173,150
K12830,940,1026,918,685,801,815
K23909,1,6,6,2,0,0
K19033,726,826,945,697,733,833
K19033,754,915,979,744,669,780
K01755,240,253,265,302,295,308
K13418,10,21,26,20,24,20
K13418,12,28,17,22,25,22
K13418,5,22,21,15,18,12
K09873,39555,46808,41335,28048,26667,28958
K09873,25538,32915,27097,17671,17844,19174
K01900,848,1102,964,855,888,965
K01900,846,1088,969,781,853,902
K01586,1867,2384,2372,2744,2561,3027
K01885,400,493,497,346,393,322
K00729,452,494,500,474,362,427
K11877,231,232,291,177,171,176
K03066,1560,1743,1726,1979,2051,2102
K04564,710,789,819,624,635,663
K22382,623,813,754,747,805,769
K06674,36,47,44,27,37,35
K06674,23,32,61,24,22,22
K06674,31,50,30,20,31,22
K04708,85,100,123,97,91,113
K04708,114,169,153,143,127,180
K04708,80,114,107,78,79,99
K20352,655,744,722,633,594,702
K24763,282,323,341,259,338,302
K24763,279,359,356,268,330,310
K23960,841,1063,814,883,1040,988
K08991,88,112,141,193,203,201
K22520,2050,2763,2290,2141,2145,2354
K06941,673,897,768,710,727,813
K05019,263,284,291,260,317,325
K08066,1964,2263,1826,1325,1550,1608
K23801,366,340,464,313,250,253
K00549,23014,28007,24694,24940,23159,24340
K01760,302,411,410,300,285,285
K14800,275,334,355,352,304,394
K03076,1,0,0,2,3,0
K01530,540,708,655,792,801,830
K01530,593,720,667,839,806,925
K14156,426,513,408,945,956,1100
K10638,177,177,214,164,138,80
K03242,3976,4560,4529,3799,3841,4153
K11090,569,632,597,553,494,483
K13506,338,329,354,272,265,271
K13506,293,318,304,266,252,285
K13506,297,404,329,264,262,277
K06268,747,917,937,700,636,814
K13094,1656,2106,1895,1604,1846,1808
K12451,2240,2875,2428,4089,3431,4124
K02873,5387,7137,6655,6825,6369,7158
K01904,151,291,214,80,129,137
K20716,0,0,0,0,0,0
K01904,2971,4621,3905,1945,2358,2472
K22683,420,513,493,335,389,429
K05287,336,423,409,285,302,361
K04532,1346,1512,1396,1194,1251,1453
K15166,680,801,703,723,677,643
K02982,4,13,16,15,12,17
K20495,50,70,64,57,42,21
K10775,4044,6047,4595,4701,5294,5493
K10775,1319,1987,1188,1384,1407,1591
K22213,123,137,112,83,118,128
K17267,3724,4541,4086,3939,3986,4240
K15161,119,152,162,103,88,106
K15161,137,148,146,77,130,115
K15161,96,112,116,91,77,90
K14207,2238,2880,2356,3817,3564,4570
K01689,1903,2373,2330,2106,1952,2031
K01278,1095,1267,1257,1127,1245,1375
K20884,140,192,182,151,148,174
K22991,257,302,316,296,300,292
K22991,250,307,272,284,265,303
K22991,279,342,305,271,298,282
K22991,236,324,299,266,281,289
K22991,240,295,258,243,208,265
K11368,604,684,608,529,470,562
K02920,8882,10325,11102,9997,10098,10732
K11367,644,755,634,753,902,898
K11367,592,697,622,763,845,861
K01510,240,309,282,309,325,344
K01510,240,299,291,311,349,354
K12599,287,346,347,159,160,170
K12599,286,326,381,159,212,138
K22940,820,1025,1000,823,744,884
K03036,393,499,431,556,623,557
K03036,334,463,435,477,582,559
K03036,396,456,402,497,597,588
K12882,501,584,536,355,331,311
K14328,2203,2613,2359,1577,1837,1801
K14321,80,92,93,85,64,75
K14321,78,101,96,59,78,70
K15363,378,480,436,365,396,477
K22530,641,793,735,774,763,816
K03106,686,870,814,690,733,694
K06910,1329,1796,1458,1768,1628,2224
K02939,1119,1268,1440,880,1014,991
K03142,251,363,323,359,346,372
K03142,291,349,313,311,332,404
K17435,218,307,267,178,223,223
K06199,308,460,433,1040,1057,1251
K06199,312,454,426,938,924,1101
K04078,449,474,474,678,611,717
K01728,2,0,0,0,0,0
K20472,427,542,484,435,400,477
K20472,418,522,468,449,426,489
K20472,391,480,467,426,422,449
K20472,400,478,487,459,386,438
K01230,985,1178,1131,1196,1048,1252
K12272,2308,3156,2810,2204,2022,2394
K03259,1595,1978,1774,1597,1474,1827
K15397,574,643,648,575,605,630
K15397,478,583,525,497,443,537
K14066,272,265,259,345,364,381
K06537,123,165,143,85,118,117
K14550,759,917,926,584,818,675
K02941,4659,5998,5703,5735,5429,5726
K13123,241,246,204,240,249,200
K13123,242,231,221,198,241,225
K19758,16,19,25,17,20,34
K15382,0,0,0,0,1,1
K02943,11105,13519,13531,12409,12249,13314
K06630,12892,15588,14142,8560,9724,10465
K12446,210,286,250,189,214,197
K12446,214,276,279,205,208,254
K00868,54,62,65,72,49,58
K00868,42,72,84,69,61,45
K00868,40,78,69,51,58,54
K00868,54,68,63,66,63,49
K00868,47,56,48,45,46,42
K10875,2,2,2,0,1,0
K10875,1,1,0,0,0,0
K10570,252,291,335,198,221,172
K12865,168,167,169,129,130,112
K12865,181,180,181,132,141,121
K12865,187,198,162,118,142,145
K12865,162,192,175,126,123,134
K02877,10517,12411,13404,12006,11122,12342
K14318,280,323,372,232,203,201
K12947,160,176,209,184,143,187
K12947,169,159,190,152,153,187
K02914,917,1006,1070,861,834,981
K16743,37,33,65,39,43,27
K16743,41,30,77,35,50,29
K14314,429,537,566,378,395,351
K14314,360,426,489,302,343,296
K14495,469,690,799,915,1070,1185
K01061,457,529,493,567,555,680
K14771,267,286,292,157,199,140
K12831,261,346,291,239,241,222
K03575,48,79,70,32,26,28
K03575,58,70,77,34,29,37
K08736,176,193,174,373,340,357
K24104,128,112,142,187,203,189
K12811,702,783,726,956,1200,1219
K12811,690,773,734,1000,1150,1148
K00430,15,15,18,20,17,21
K00430,20,10,19,16,12,26
K00430,125,151,162,124,116,92
K00430,126,168,170,122,106,101
K12199,488,628,556,918,950,1012
K12854,1552,1795,1695,1778,1809,1710
K01177,877,1052,928,899,1046,974
K01177,1118,1363,1248,3816,4122,5009
K10408,5,2,6,2,2,2
K10408,5,3,1,4,1,2
K10408,5,6,2,6,1,6
K10408,4,4,4,3,2,2
K10408,5,5,3,4,1,0
K10408,3,4,6,1,1,0
K01893,808,991,864,889,927,955
K01444,53,95,92,22,33,46
K01444,51,92,63,21,27,33
K00847,2881,3405,3112,2426,2443,2827
K00847,2909,3463,3307,2643,2695,2947
K02266,2202,2529,2368,2350,2209,2604
K02941,7839,10140,9414,9825,9023,9614
K11293,590,659,568,531,482,574
K14839,1210,1545,1386,1290,1303,1452
K01166,625,710,597,699,755,810
K01527,6522,7462,7847,6729,6860,7177
K01517,129,165,187,70,72,72
K01534,1162,1678,1440,1759,1815,1836
K01919,384,474,394,1828,1973,2424
K10609,2410,3013,2842,2685,2724,2740
K12382,716,761,752,739,703,882
K12382,737,721,798,696,753,859
K12382,673,810,753,767,726,849
K02964,7624,10469,9811,8843,7607,9163
K09533,2784,3162,2593,2600,3050,3176
K02863,3865,4524,4796,4023,3972,4205
K00521,21,19,25,21,32,30
K01115,51,83,60,77,56,81
K23025,10,12,9,15,8,13
K23093,81,95,106,66,64,58
K23093,81,95,114,56,79,49
K17479,254,291,304,172,165,184
K19677,4,14,8,7,4,2
K19677,7,12,9,6,7,8
K19677,9,8,7,5,8,5
K03679,221,266,274,177,188,162
K10268,63,90,92,54,32,45
K10268,50,85,86,31,38,33
K19985,1415,1881,1512,1752,1753,2004
K02960,4996,6119,5972,5744,5158,6104
K15111,67,50,69,95,63,93
K14190,712,761,726,1219,1010,1086
K17338,212,280,208,489,444,615
K17338,219,291,220,501,492,624
K17338,207,252,221,503,473,579
K17338,262,251,189,500,473,604
K17338,233,296,230,505,432,565
K17338,195,244,224,516,464,596
K14852,284,341,393,326,356,383
K18660,2362,3167,2408,15944,15090,19828
K00814,14744,17052,15612,15669,18214,19289
K02945,62,82,79,82,80,110
K02945,83,84,82,102,88,91
K02945,65,71,94,113,88,110
K02945,53,78,85,98,92,113
K18999,92,116,114,359,409,482
K18999,94,134,112,380,401,484
K08490,352,443,349,763,749,972
K08490,357,424,366,750,769,910
K17783,305,459,385,427,430,451
K10765,1150,1481,1252,967,1021,1118
K23678,2,1,1,3,3,2
K00145,257,379,325,202,282,200
K00145,251,316,335,165,232,208
K00145,270,316,326,183,227,203
K02943,2945,3609,3552,3230,3345,3189
K22013,1115,1429,1155,1413,1280,1867
K02492,3901,4763,4528,3761,4813,4407
K17606,517,533,529,1070,1009,1162
K14649,552,646,632,497,561,531
K17790,76,80,79,118,109,153
K17790,66,97,66,122,127,145
K10841,265,381,355,814,965,1118
K01305,66,97,75,61,83,107
K13648,458,636,538,584,542,552
K14964,279,402,311,443,463,498
K12181,353,379,418,309,365,381
K13140,0,0,0,0,0,0
K00161,3,8,7,4,6,4
K00856,1697,2272,2175,1778,1651,1883
K12236,605,799,738,1857,1974,1885
K03437,292,373,349,459,423,546
K01087,3537,4875,4100,2729,2998,3066
K12580,735,899,928,1231,1289,1361
K01726,547,693,557,574,703,705
K01726,503,608,476,523,630,661
K18932,539,547,553,477,557,514
K18932,527,598,555,466,530,570
K15075,244,282,335,177,167,152
