	kegg.names	labels	all.mapped	all.mapped.symb	type	x	y	width	height	Cd1	Cd2	Cd3	Cd1.col	Cd2.col	Cd3.col
315	K02233	K02233			ortholog	413	1412	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
316	K02226	K02226			ortholog	541	1394	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
317	K00768	K00768			ortholog	634	1395	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
319	K02259	K02259	K02259	NA	ortholog	1037	326	46	17	-69	-40	-41	#00FF00	#00FF00	#00FF00
320	K02225	K02225			ortholog	413	1238	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
321	K02225	K02225			ortholog	368	1313	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
322	K00595	K00595			ortholog	495	871	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
323	K02189	K02189			ortholog	337	700	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
324	K02188	K02188			ortholog	337	748	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
330	K00510	K00510			ortholog	874	443	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
338	K13071	K13071	K13071	NA	ortholog	1091	1116	46	17	-612.333333333333	-534.333333333333	-566.333333333333	#00FF00	#00FF00	#00FF00
341	K13545	K13545	K13545	NA	ortholog	1141	1168	46	17	106.666666666667	166.666666666667	236.666666666667	#FF0000	#FF0000	#FF0000
344	K13600	K13600	K13600	NA	ortholog	905	1139	46	17	-154	977	628	#00FF00	#FF0000	#FF0000
346	K04040	K04040	K04040	chlG	ortholog	983	1230	46	17	-221.333333333333	-171.333333333333	-252.333333333333	#00FF00	#00FF00	#00FF00
348	K08099	K08099	K08099	E3.1.1.14	ortholog	939	1211	46	17	-20	9	11	#00FF00	#FF0000	#FF0000
350	K13606	K13606	K13606	NA	ortholog	906	1270	46	17	105.666666666667	462.666666666667	922.666666666667	#FF0000	#FF0000	#FF0000
354	K13606	K13606	K13606	NA	ortholog	906	1173	46	17	105.666666666667	462.666666666667	922.666666666667	#FF0000	#FF0000	#FF0000
356	K11333	K11333			ortholog	784	1085	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
358	K11336	K11336			ortholog	783	1024	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
363	K11333	K11333			ortholog	872	1024	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
364	K11336	K11336			ortholog	874	1085	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
366	K11337	K11337			ortholog	975	1054	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
373	K00230	K00230			ortholog	626	356	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
374	K16651	K16651			ortholog	137	1314	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
376	K13600	K13600	K13600	NA	ortholog	804	1138	46	17	-154	977	628	#00FF00	#FF0000	#FF0000
377	K18010	K18010	K18010	NA	ortholog	804	1270	46	17	-139	-15	12	#00FF00	#00FF00	#FF0000
384	K04040	K04040	K04040	chlG	ortholog	1106	1055	46	17	-221.333333333333	-171.333333333333	-252.333333333333	#00FF00	#00FF00	#00FF00
387	K13605	K13605			ortholog	1166	938	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
389	K13604	K13604			ortholog	1052	915	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
390	K13605	K13605			ortholog	1165	876	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
394	K04040	K04040	K04040	chlG	ortholog	1106	1010	46	17	-221.333333333333	-171.333333333333	-252.333333333333	#00FF00	#00FF00	#00FF00
399	K10960	K10960	K10960	NA	ortholog	1220	1055	46	17	-2129	-1264	-1807	#00FF00	#00FF00	#00FF00
400	K10960	K10960	K10960	NA	ortholog	1220	1010	46	17	-2129	-1264	-1807	#00FF00	#00FF00	#00FF00
401	K21058	K21058			ortholog	818	940	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
402	K13602	K13602			ortholog	887	914	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
403	K13603	K13603			ortholog	955	939	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
408	K13601	K13601			ortholog	888	853	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
409	K13601	K13601			ortholog	888	793	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
410	K13603	K13603			ortholog	955	879	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
411	K13603	K13603			ortholog	955	819	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
412	K13603	K13603			ortholog	955	758	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
413	K21231	K21231			ortholog	701	782	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
